🇨🇳󠁧󠁢󠁥󠁮央视频道,#genre#
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://111.40.196.33/PLTV/88888888/224/3221225769/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1-综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV1-综合,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
CCTV1-综合,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1-综合,http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225548/index.m3u8
CCTV1-综合,http://111.40.196.9/PLTV/88888888/224/3221225769/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8$江西宜春8M
CCTV1-综合,http://219.151.31.38/liveplay-kk.rtxapp.com/live/program/live/cctv1hd/4000000/mnf.m3u8
CCTV1-综合,http://ikuai9.com:4000/udp/239.93.42.5:5140
CCTV1-综合,http://ikuai9.com:4000/udp/239.93.42.6:5140
CCTV1-综合,http://ikuai9.com:4000/udp/239.93.42.7:5140
CCTV1-综合,http://ikuai9.com:4000/udp/239.93.42.36:5140
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1-综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1-综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV1-综合,http://39.135.138.59:18890/TVOD/88888910/224/3221225630/index.m3u8
CCTV1-综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1-综合,http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
